group,module,keep
B_cell,1,yes
B_cell,2,yes
B_cell,3,yes
B_cell,4,yes
B_cell,5,yes
B_cell,6,yes
B_cell,7,yes
B_cell,8,yes
B_cell,9,yes
B_cell,10,yes
B_cell,11,no
B_cell,12,yes
B_cell,13,yes
B_cell,14,yes
B_cell,15,yes
B_cell,16,yes
B_cell,17,yes
CD4_T,1,yes
CD4_T,2,yes
CD4_T,3,yes
CD4_T,4,yes
CD4_T,5,yes
CD4_T,6,yes
CD4_T,7,yes
CD4_T,8,yes
CD4_T,9,yes
CD4_T,10,yes
CD4_T,11,yes
CD4_T,12,yes
CD4_T,13,yes
CD4_T,14,yes
CD4_T,15,yes
CD4_T,16,no
CD4_T,17,no
Myeloid,1,yes
Myeloid,2,yes
Myeloid,3,yes
Myeloid,4,yes
Myeloid,5,yes
Myeloid,6,yes
Myeloid,7,yes
Myeloid,8,no
Myeloid,9,no
Myeloid,10,yes
nonCD4_T,1,yes
nonCD4_T,2,yes
nonCD4_T,3,yes
nonCD4_T,4,yes
nonCD4_T,5,yes
nonCD4_T,6,yes
nonCD4_T,7,yes
nonCD4_T,8,yes
nonCD4_T,9,yes
nonCD4_T,10,yes
nonCD4_T,11,yes
nonCD4_T,12,no
nonCD4_T,13,no
nonCD4_T,14,no
nonCD4_T,15,no
